Start_Date,Assign_ID,Weight_Result,,Start_Date,Assign_ID,Weight_Result
2018-09-07 18:31,P7186912,137.828,,2018-09-20 4:39,P7155616,139.642
2018-09-07 18:52,P7186913,137.926,,2018-09-20 5:00,P7155617,137.176
2018-09-07 19:13,P7186914,138.679,,2018-09-20 5:21,P7155621,140.567
2018-09-07 19:34,P7186915,138.471,,2018-09-20 5:45,P7155622,140.979
2018-09-07 19:55,P7186916,139.144,,2018-09-20 6:06,P7155623,139.998
2018-09-07 20:17,P7186917,138.416,,2018-09-20 6:27,P7155624,140.697
2018-09-07 20:37,P7186918,138.389,,2018-09-20 6:48,P7155628,135.589
2018-09-07 20:58,P7186919,137.923,,2018-09-20 7:09,P7155629,139.263
2018-09-07 21:21,P7186920,138.891,,2018-09-20 7:30,P7155630,138.232
2018-09-07 21:42,P7186921,139.078,,2018-09-20 7:51,P7155631,138.555
2018-09-07 22:04,P7186922,139.078,,2018-09-20 8:12,P7155635,138.816
2018-09-07 22:25,P7186923,137.55,,2018-09-20 8:33,P7155636,136.828
2018-09-07 22:47,P7186924,138.01,,2018-09-20 8:55,P7155637,139.872
2018-09-07 23:08,P7186925,137.577,,2018-09-20 9:15,P7155638,139.567
2018-09-07 23:29,P7186926,137.962,,2018-09-20 9:36,P7155642,137.175
2018-09-07 23:50,P7186927,137.152,,2018-09-20 9:57,P7155643,138.596
2018-09-08 0:11,P7186928,137.915,,2018-09-20 10:18,P7155644,136.721
2018-09-08 0:32,P7186929,137.558,,2018-09-20 10:40,P7155645,136.361
2018-09-08 0:53,P7186930,138.552,,2018-09-20 11:03,P7166084,135.908
2018-09-08 1:14,P7186931,137.912,,2018-09-20 11:25,P7166085,136.851
2018-09-08 1:36,P7186932,137.433,,2018-09-20 11:46,P7166086,136.068
2018-09-08 1:58,P7186933,138.28,,2018-09-20 12:09,P7166087,135.547
2018-09-08 2:18,P7186934,137.563,,2018-09-20 12:31,P7155649,136.05
2018-09-08 2:40,P7186935,138.907,,2018-09-20 12:52,P7155650,136.568
2018-09-08 3:02,P7186936,138.173,,2018-09-20 13:13,P7166051,136.742
2018-09-08 3:23,P7186937,138.31,,2018-09-20 13:35,P7166052,136.774
2018-09-08 3:47,P7186938,136.869,,2018-09-20 13:56,P7187453,136.728
2018-09-08 4:08,P7186939,137.337,,2018-09-20 14:17,P7187454,134.632
2018-09-08 4:29,P7186940,137.569,,2018-09-20 14:39,P7187455,136.895
2018-09-08 4:50,P7186941,137.709,,2018-09-20 15:00,P7187456,135.852
2018-09-08 5:11,P7186942,137.61,,2018-09-20 15:20,P7187457,137.27
2018-09-08 5:33,P7186943,136.233,,2018-09-20 15:42,P7187458,134.883
2018-09-08 5:54,P7186944,137.929,,2018-09-20 16:02,P7187459,135.666
2018-09-08 6:15,P7186945,138.362,,2018-09-20 16:23,P7187460,137.293
2018-09-08 6:36,P7186946,138.329,,2018-09-20 16:45,P7187461,138.006
2018-09-08 6:57,P7186947,137.969,,2018-09-20 17:06,220732517,396.01
2018-09-08 7:18,P7186948,138.405,,2018-09-20 17:28,220732517,396.008
2018-09-08 7:40,P7186949,137.931,,2018-09-20 17:49,P7163896,140.236
2018-09-08 8:01,P7186950,137.785,,2018-09-20 18:11,P7163897,139.933
2018-09-08 8:21,P7155601,138.307,,2018-09-20 18:33,P7163898,141.11
2018-09-08 8:43,P7155602,137.097,,2018-09-20 18:55,P7163899,142.143
