"Time.S","Assign_ID","Wgt.S"
"2018-05-23 18:16","7S16892",159.088
"2018-05-23 18:38","7S16893",158.782
"2018-05-23 19:00","7S16894",156.525
"2018-05-23 19:21","6B29885",155.224
"2018-05-23 19:41","6B29886",164.257
"2018-05-23 20:02","6B29887",156.198
"2018-05-23 20:23","6B29888",153.864
"2018-05-23 20:44","6B29889",155.922
"2018-05-23 21:05","6B29890",155.425
"2018-05-23 21:26","6B29891",154.268
"2018-05-23 21:48","6B29892",153.791
"2018-05-23 22:09","7K09841",157.14
"2018-05-23 22:30","7K09842",156.641
"2018-05-23 22:51","7K09843",157.315
"2018-05-23 23:12","7K09844",157.158
"2018-05-23 23:36","7K09845",157.493
"2018-05-23 23:58","7K09846",157.645
"2018-05-24 0:19","7K09847",156.464
"2018-05-24 0:40","7K09848",157.304
"2018-05-24 1:01","7K09849",157.222
"2018-05-24 1:22","7K09850",157.696
"2018-05-24 1:43","7K09818",158.594
"2018-05-24 2:04","7K09819",158.933
"2018-05-24 2:26","7K09820",158.825
"2018-05-24 2:47","7K09821",159.586
"2018-05-24 3:09","7K09822",158.21
"2018-05-24 3:30","7K09823",157.821
"2018-05-24 3:51","7K09824",157.639
"2018-05-24 4:12","7K09825",157.135
"2018-05-24 4:34","7K09826",157.503
"2018-05-24 4:55","7K09827",156.185
"2018-05-24 5:17","7K09828",156.153
"2018-05-24 5:38","7K09829",157.899
"2018-05-24 6:02","7K09830",157.9
"2018-05-24 6:24","7K09001",158.19
"2018-05-24 6:45","7K09002",158.163
"2018-05-24 7:06","7K09003",157.825
"2018-05-24 7:28","7K09004",157.263
"2018-05-24 7:50","7K09005",157.863
"2018-05-24 10:19","7S16351",159.119
"2018-05-24 10:40","7S16352",158.913
"2018-05-24 11:02","7S16358",158.347
"2018-05-24 11:23","7S16359",158.98
"2018-05-24 11:44","7S16360",159.039
"2018-05-24 12:06","7P14653",157.888
"2018-05-24 12:29","7P14654",158.452
"2018-05-24 12:50","7P14655",158.736
"2018-05-24 13:12","7P14656",159.02
"2018-05-24 13:33","7P14657",158.613
"2018-05-24 13:54","7P14659",158.735
"2018-05-24 14:15","7P14660",159.187
"2018-05-24 14:36","7P14661",158.685
"2018-05-24 14:57","7S16895",156.509
"2018-05-24 15:18","7S16896",158.457
"2018-05-24 15:39","7S16897",159.231
"2018-05-24 16:00","7S16898",158.796
"2018-05-24 16:21","7S16899",157.698
"2018-05-24 16:42","7S16900",159.919
"2018-05-24 17:03","7P14651",159.415
"2018-05-24 17:25","7P14652",158.985
"2018-05-25 10:55","7K09017",158.044
"2018-05-25 11:16","7K09018",158.308
"2018-05-25 11:37","7K09019",158.079
"2018-05-25 11:58","7K09020",157.802
"2018-05-25 12:19","7K09021",157.71
"2018-05-25 12:41","7K09022",159.292
"2018-05-25 13:02","7K09023",158.418
"2018-05-25 13:23","7K09024",158.508
"2018-05-25 13:45","7K09025",157.26
"2018-05-25 14:08","7K09026",157.988
"2018-05-25 14:28","7K09027",157.612
"2018-05-25 14:50","7K09028",158.276
"2018-05-25 15:10","7K09029",158.269
"2018-05-25 15:31","7K09030",158.264
"2018-05-25 15:52","7K09031",157.803
"2018-05-25 16:13","7K09032",157.511
"2018-05-25 16:34","7K09033",158.212
"2018-05-25 16:55","7K09034",158.611
"2018-05-25 17:16","7K09035",158.454
"2018-05-29 11:49","7K09702",157.428
"2018-05-29 12:10","7K09703",157.939
"2018-05-29 12:31","7K09704",158.401
"2018-05-29 12:52","7K09705",157.668
"2018-05-29 13:13","7K09706",156.106
"2018-05-29 13:33","7K09707",158.309
"2018-05-29 13:54","7K09708",157.108
"2018-05-29 14:14","7K09709",156.529
"2018-05-29 14:35","7K09710",158.005
"2018-05-29 14:55","7K09711",158.004
"2018-05-29 15:16","7K09712",156.65
"2018-05-29 15:37","7K09713",157.295
"2018-05-29 15:58","7K09714",157.669
"2018-05-29 16:19","7K09715",157.021
"2018-05-29 16:40","7K09716",158.66
"2018-05-29 17:01","7P14670",160.222
"2018-05-29 17:22","7P14671",160.156
"2018-05-29 17:43","7P14672",160.428
"2018-05-29 18:04","7P14673",157.862
"2018-05-29 18:26","7P14674",159.494
"2018-05-29 18:47","7P14675",157.881
"2018-05-29 19:08","7P14676",158.142
"2018-05-29 19:29","7P14681",157.217
"2018-05-29 19:50","7P14682",157.381
"2018-05-29 20:11","7P14683",157.929
"2018-05-29 20:32","7P14684",158.801
"2018-05-29 20:52","7P14685",159.328
"2018-05-29 21:14","7P14686",157.643
"2018-05-29 21:34","7P14687",157.612
"2018-05-29 21:55","7P14688",157.542
"2018-05-29 22:16","7P14689",157.317
"2018-05-29 22:37","7P14690",157.892
"2018-05-29 22:59","7K09750",156.606
"2018-05-29 23:20","7K09851",157.963
"2018-05-29 23:41","7K09852",158.567
"2018-05-30 0:02","7K09858",158.068
"2018-05-30 0:23","7K09859",159.487
"2018-05-30 0:43","7K09860",158.455
"2018-05-30 1:06","7K09861",159.174
"2018-05-30 1:27","7K09862",159.814
"2018-05-30 1:49","7K09863",159.874
"2018-05-30 2:10","7K09864",158.209
"2018-05-30 2:31","7K09865",159.646
"2018-05-30 2:51","7K09866",158.391
"2018-05-30 3:12","7K09867",162.816
"2018-05-30 3:33","7K09868",160.342
"2018-05-30 3:54","7K09869",161.322
"2018-05-30 4:15","7K09870",160.648
"2018-05-30 4:36","7K09871",160.273
"2018-05-30 4:57","7K09872",158.751
"2018-05-30 5:18","7K09873",158.841
"2018-05-30 5:39","7K09188",160.681
"2018-05-30 6:01","7K09189",161.179
"2018-05-30 6:22","7K09190",160.28
"2018-05-30 6:43","7K09191",160.075
"2018-05-30 7:03","7K09192",159.044
"2018-05-30 7:24","7K09193",157.65
"2018-05-30 7:47","7K09194",158.871
"2018-05-30 8:08","7K09195",159.309
"2018-05-30 8:29","7K09196",159.733
"2018-05-30 8:49","7K09197",159.157
"2018-05-30 9:11","7K09198",159.924
"2018-05-30 9:32","7K09199",159.189
"2018-05-30 9:53","7K09200",159.054
"2018-05-30 10:14","7K09701",157.819
"2018-05-31 1:36","7S18359",158.559
"2018-05-31 1:56","7S18360",157.996
"2018-05-31 2:17","7S18361",160.057
"2018-05-31 2:37","7S18362",157.618
"2018-05-31 2:58","7S18363",159.468
"2018-05-31 3:21","7S18364",157.133
"2018-05-31 3:42","7S18365",157.918
"2018-05-31 4:03","7S18366",159.16
"2018-05-31 4:24","7S18367",159.193
"2018-05-31 4:44","7S18368",158.599
"2018-05-31 5:05","7K09284",158.207
"2018-05-31 8:35","6B29754",160.874
"2018-05-31 8:57","6B29755",161.424
"2018-05-31 9:19","6B29756",161.693
"2018-05-31 9:40","6B29757",160.842
"2018-05-31 10:03","6B29758",156.093
"2018-05-31 10:23","6B29759",155.323
"2018-05-31 10:44","6B29760",156.053
"2018-05-31 11:05","6B29761",151.928
"2018-05-31 11:27","6B29799",164
"2018-05-31 11:48","5J08451",153.211
"2018-05-31 12:09","5J08452",152.047
"2018-05-31 12:30","5J08453",153.38
"2018-05-31 12:50","6B29768",157.141
"2018-05-31 13:12","6B29769",155.911
"2018-05-31 13:33","5J08454",155.932
"2018-05-31 13:54","6B29771",156.961
"2018-05-31 14:14","6B29772",156.741
"2018-05-31 14:35","6B29793",160.412
"2018-05-31 14:56","6B29794",160.812
"2018-05-31 15:17","6B29795",163.671
"2018-05-31 15:38","6B29796",158.4
"2018-05-31 15:58","6B29777",161.317
"2018-05-31 16:19","6B29778",164.769
"2018-05-31 16:42","6B29797",155.138
"2018-05-31 17:03","6B29798",162.05
"2018-05-31 17:24","6B29781",153.426
"2018-05-31 17:44","7K09332",157.229
"2018-05-31 18:05","7K09333",158.507
"2018-05-31 18:25","7K09334",157.545
"2018-05-31 18:46","7K09335",157.311
"2018-05-31 19:07","7K09336",157.238
"2018-05-31 19:27","7K09337",156.98
"2018-05-31 19:48","7K09338",158.526
"2018-05-31 20:09","7K09882",156.804
"2018-05-31 20:30","7K09883",156.006
"2018-05-31 20:51","7K09884",156.955
"2018-05-31 21:12","7K09885",157.502
"2018-05-31 21:33","7K09886",157.7
"2018-05-31 21:53","7K09887",157.937
"2018-05-31 22:14","7K09888",157.21
"2018-05-31 22:34","7K09889",156.469
"2018-05-31 22:55","7K09897",158.103
"2018-05-31 23:18","7K09898",157.464
"2018-05-31 23:39","7K09899",157.532
"2018-06-01 0:00","7K09900",157.836
"2018-06-01 0:21","7K09312",157.944
"2018-06-01 0:42","7K09313",159.403
"2018-06-01 1:03","7K09314",158.435
"2018-06-01 1:24","7K09315",158.726
"2018-06-01 1:45","7K09316",158.03
"2018-06-01 2:05","7K09317",158.484
"2018-06-01 2:27","7K09318",157.947
"2018-06-01 2:48","7K09319",158.64
"2018-06-01 3:09","7K09320",158.051
